Dataset,template_column,assayed_in_GSE281087,source_column,n_positive,interpretation_of_zero
GSE281087,STAG2,Yes,STAG2,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,SUZ12,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,TET2,Yes,TET2,7,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,TP53,Yes,TP53,1,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,U2AF1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,WT1,Yes,WT1,0,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,ZEB2,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,ZRSR2,Yes,ZRSR2,0,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,FLT3-ITD,Partial,FLT3,1,NOT REPORTED. Only SU209 documents a FLT3 subtype (ITD); the other 12 FLT3-mutant samples record a bare TRUE. 0 here is not an ITD/TKD-negative assay.
GSE281087,FLT3-TKD,Partial,FLT3,0,NOT REPORTED. Only SU209 documents a FLT3 subtype (ITD); the other 12 FLT3-mutant samples record a bare TRUE. 0 here is not an ITD/TKD-negative assay.
GSE281087,inv(16)_CBFB-MYH11,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,t(8;21)_RUNX1-RUNX1T1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,PML-RARA_t(15;17),No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,MECOM-r_3q26,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,KMT2A-rearrangement,Yes,MLL-R,0,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,KMT2A-PTD,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,NUP98-NSD1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,RUNX1-EVI1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,t(6;9)_DEK-NUP214,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,TET1,Yes,TET1,1,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,IDH1-or-IDH2_unspecified,Yes,IDH1/IDH2,1,Assayed by the GSE281087 panel and not called (wild-type as reported).
